"","id. Response_ID","GamesAsArt?Y/N","DescriptionOfExperience","GameTitle","WhyIsThisExperienceArt?","LongAgo. How_long_ago_di.._","PlayedBefore. Have_you_played.._","TimeToExperience. Where_in_the_ga.._","TimeToExperience[other]. Where_in_the_ga..__[Other]","Meaning. Thinking_back_t.._","EffectOnGameYN. Did_this_experi.._","effectongame. Please_elaborate:","EffectPersonalYN. Did_this_experi.._","effectpersonal. Please_elaborate:","EffectOnMediumYN. Did_this_experi.._","EffectOnMedium. Please_explain_.._","IntentionYN. Do_you_think_yo.._","Intention. Please_explain_.._","EXPInOtherArtYN. Did_you_ever_ex.._","ExpInOtherArtType. What_form_of_me.._","ExpInOtherArtType[other]. What_form_of_me..__[Other]","ExpInOtherArt. Please_describe.._","NoExperienceYN. Do_you_think_di.._","NoExperience. Please_explain_.._","FavGames[Fav1]. Please_name_up_..__[1]","FavGames[Fav2]. Please_name_up_..__[2]","FavGames[Fav3]. Please_name_up_..__[3]","FavGames[Fav4]. Please_name_up_..__[4]","FavGames[Fav5]. Please_name_up_..__[5]"
"40",132,"Yes","It’s a story-based iOS game where the narrative is centered on a girl who travels to this mystical island to take care of her sick grandfather. He teaches her his peoples’ culture which includes magical gardening. The visuals are beautiful (and I’m pretty sure hand drawn) and every frame can be a painting. The story is intriguing and dramatic (and spread over many chapters).","Mutazione","Whenever I remember this game I am flooded with memories and feelings I have attached to it. This game created an experience for me that I will treasure. This game also has a unique and beautiful art style. I get the same feelings when I remember this game as I do when I remember a painting or movie I saw, if anything to a greater extent.","<2 months ago","No","During the general gameplay",NA,"It made me have a greater appreciation for nature. It also showed me the importance of appreciating cultures and learning from the past.","Yes","Mutazione became less of a time passer and more of an experience that I am actively participating in.","Yes","Mutazione became a memory/experience that I think about occasionally and have strong feelings attached to it.","Yes","This game pushed the boundary of story telling by including a diverse cast of characters (woc/enby), something that I now look for in future iOS games I play","Yes","After becoming familiar with the developing studio (Die Gute Fabrik) they have illustrated their intentions with this game, and it is clear they have an immense passion to create a memorable experience that challenges our world views.","N/A",NA,NA,NA,"N/A",NA,"Mutazione","Severed","Sayonara Wild Hearts","DERE EVIL EXE","Alto’s Odyssey"
"41",137,"Yes","instead of the most recent one, i'm going to talk about the first time i remember consciously experiencing a video game as art, because i can remember it much more vividly than anything i watched or played in the recent past. the game was gta vice city. it was the first title of the franchise i played an i thouroughly enjoyed the experience. the art and the music made me nostalgic for a time and place i had never experienced and the story featured an entertaining cast of characters. i liked the references to movies and tv shows as well as the use of satire to provide social commentary. the missions rarely got boring and even after finishing the main storyline, the game was still fun to roam around in.","gta vice city","being aware that the game was the way it was because of deliberate choices the developers made",">10 years ago","No","During the general gameplay",NA,"no idea","Yes","i regret saying yes to the bonus questions","Yes","nah","Yes","nah","Yes",NA,"N/A",NA,NA,NA,"N/A",NA,"minecraft","civilization","elasto mania",NA,NA
"42",141,"Yes","I feel like games, as a mixture of things we already consider art (music, literature, cinematography, etc), need to evoke something within the gameplay itself. Undertale does this: the game plays out in a way that recommends you not kill anybody, and doing so gives you a genuinely heartwarming story. It was also marketed specifically as a game where you don't need to kill anyone. But because you can play it multiple times, you could also do the inverse: kill EVERYONE. It invokes a dissonance in the player that only a game could create: you've come to love all these characters, and now you want to see what happens when you personally kill them all. And you have to really try to do it: the game forces you to grind out kills, and throws two incredibly difficult bosses at you (one which explicitly cheats). There are moments where the game points out that you, THE PLAYER, are making these choices. The most poignant of these is once you've finished: you're PERMANENTLY punished for doing the deed; if you do another Pacifist route, the heartwarming scene at the end instead concludes with a stinger and a brief but telltale appearance of the monster you created in the genocide route.","Undertale","To reiterate, I think gameplay needs to be the primary consideration when looking at games as art. The genocide route deliberately plays with the typical tropes of RPG gameplay. Namely, grinding and the implications of it: the slaughter of hundreds of creatures just to see a number go up and your strength increasing; the lives left behind; the motivations of your character; etc.. It also makes it as tedious as possible, both to prevent people from accidentally doing it and to reinforce the decision you've made.","1-2 years ago","Yes","Other","A second playthrough",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Undertale","Doom Eternal","Dark Souls","Etrian Odyssey III","Persona 4 Golden"
"43",145,"Yes","The game had a simple linear story structure that allowed you to experience and understand elements of the story at your own pace as you play through the game. The art style was consistent throughout the game and somewhat surreal/abstract which created a distinct atmosphere. These two elements combined made the game very immersive. The playthrough of the game was also fairly short (3-4 hours) which made it almost feel like a movie that you were a part of. The gameplay, art style, and story all combined to create a cohesive experience.","Journey","The meaning of the story was open to interpretation but felt significant regardless of how you interpreted it. There was a feeling that you were just revealing a story that already existed and experiencing art by uncovering it yourself rather than making something yourself with the game.","1-2 years ago","No","During the general gameplay",NA,"It allowed me to connect with the game on a deeper level. It made me think about the story and decide what it meant for myself. There were themes of loss, mysterious past, and loneliness that were moving.","Yes","Rather than viewing it as a simple short game with basic gameplay and a unique art style, it turned it into more of an experience akin to watching a movie or reading a novel, making me more likely to come back to replay the game despite the fairly simple gameplay elements.","Yes","Changed how I see the potential of video games as an artistic medium.","Yes","Expanded my ideas of what kind of storytelling is possible through video games.","Yes","The story was linear and clearly left with many ambiguous elements to draw the player in and make them engage with the story/fill in pieces of it themselves. The simple gameplay was probably intentional as well to allow players to focus on the story and environment rather than their own performance.","N/A",NA,NA,NA,"N/A",NA,"Civilization (all)","Dead Cells","Skyrim","Cities: Skylines","Grand Theft Auto V"
"44",146,"Yes","The game is emotionally captivating. Music, visual artwork, characters, coloring and the general mood of the game seem very original, in tune and create a bit of a melancholic vibe in this game. The main character is on a quest from being a broken robot to find meaning in a way. I found, the music and sounds gave the whole story more life.","Machinarium","The slowness, storyline, drawing style and music/sounds of the game made it feel very artistic.","2-10 years ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Simon the Soucerer","Monkey Island","Other Worlds","Skyrim","Final Fantasy"
"45",147,"Yes","A cutscene or part in the game where you just walk or travel to your target with accompanying music . the emotions it puts you through.","NieR Automata","The soundtrack and the immersion of the game","<2 months ago","No","During the general gameplay",NA,"To show what i had accomplished in the game and how i controlled every action that the character did.","Yes","The experience made me enjoy the game more.","No","-","No","-","Yes","To make a player feel moved and to amaze them. To make them feel proud of their decisions or fully immersed","N/A",NA,NA,NA,"N/A",NA,"NieR Automata","Persona 5","Yakuza 0","The assassins creed series","Apex legends"
"46",150,"Yes","The game is largely dependent on the storyline. Most decisions are presented with a fair amount of time to consider the variables, and there is no mashing of multiple buttons to achieve complicated moves. The game is very story-driven with the player being limited often to only picking different choices that affect the major story, but only slightly, because the end result is invariably similar.","Life is Strange","I consider it art because it reads like a movie and the graphics allow for me to feel immersed as if it was a real life story. It's still a game because it's interactive, but if it was turned into an animated picture, it would still have the same effect and immersion.","1-2 years ago","No","During the general gameplay",NA,"It felt as just another story that I got to know. It made me realize some things about human beings and also made me consider some aspects of human interaction, but it wasn't life-changing.","Yes","Despite some weird lines that tried too hard to sound ""hip"" and trendy, the storyline is very current and speaks out about things that happen and aren't often discussed in teenagers' lives.","Yes","I wouldn't be able to elaborate too much, as the story didn't impact me directly or instantly. I might have grown as a person due to the topics discussed during the game, but those effects aren't apparent in everyday considerations.","Yes","It was another example that games can have more elements of a movie embedded into how they are built, and that it works. It made me wish for more story-driven games that offer options that impact the story directly, and that let us create a main character that we truly identify with.","Yes","Choices were a main aspect of how the game progresses, so I think it was exactly the main thing they wanted to make sure was present.","N/A",NA,NA,NA,"N/A",NA,"Mass Effect","Dragon Age","SimCity","RollerCoaster Tycoon","GunZ: The Duel"
"47",152,"Yes","I considered some games as art because of some graphic effects like iluminatio, colour, events, music, dialogues and how u can participate in the events. I experienced a game where you were at war in a burning city. The Sky was red in a beautiful way that made sense with the situation, also the music made you feel even more into the action, the behaviour of other carachters were brave and action never stopped. I think it was a beautiful piece of art. Just like other missions inside the same game. This game has always been called out to be overrated and maybe it is, but for me, the missions it had were beautifully made","Call of Duty: Black Ops","The scenario because of the colours it used, the design of the environment, the music it involved and the different events that made it more exciting.","1-2 years ago","No","During the general gameplay",NA,"I have always had an special intetest in historic events, specially war and how was the behaviour of people around it. It made me feel even more curious about war and how someone can create an scenario in an exciting way","Yes","In therms of video game experience, this game made me have higher expectations about similar video games, making it harden to enjoy them","Yes","Made me aprecciate more details in every kind of video games, movies, series, etc.","Yes","I always expect video games with an elaborated way of making you experience the gameplay","Yes","I think it was all created in a way that can be enjoyed by aprecciating all of the details that form the escenario as a whole","N/A",NA,NA,NA,"N/A",NA,"Call of Duty","GTA V","Guitar Hero","FIFA","Worms World Party"
"48",155,"Yes","There have been many instances in my life wherein I experienced a game that I considered art. What comes immediately to mind, though, is my experience with a game called Oxenfree. It was clearly art to me because it didn’t just make me feel something at the end of the story. I was deeply moved by the game, haunted even. It has stuck with me to the same degree that any other mediums of art have.","Oxenfree","It was art because it brought about a deeply emotional response in me, one which was impacted by the perspective of the player. Art, to me, is a purely emotional experience that changes with the perspective of the one experiencing it. Oxenfree fit this description when I played it.","1-2 years ago","No","During the end",NA,"It was just another instance of art moving me on a fundamental level. It meant the same to me as reading a beautiful novel or looking at a haunting painting. For me, art is generally a way to have directed emotional experiences. It is about better understanding myself and how my emotional side sees the world.","Yes","Yes. Though I may not remember the specifics of Oxenfree, nor how it ended, I vividly recall what I felt. Oxenfree, and artistic video games in general, are entirely indistinguishable in how they make me feel from what is universally accepted as art.","Yes","It helped me better understand my emotions. While I still have a long journey before me, playing Oxenfree was another step in understanding myself.","No","I have believed that video games are art for a long time. Oxenfree was just an example further proving this to me.","Yes","While the exact things that I thought or felt may not have been intended by the developers, I am certain that they wanted to elicit an emotional response in their players. The story was structured in such a way to make you fall for the protagonists only to have them suffer in the end. Even though the game was not realistic, I felt as if I was there with them.","N/A",NA,NA,NA,"N/A",NA,"Rainbow Six Siege","Metal Gear Solid 5","Red Dead Redemption 2",NA,NA
"49",158,"Yes","Red Dead Redemption 2 is definitely art. The amount of detail in the game is amazing. All the details feel real, in a sense. I hunt in real life and the hunting detail in this game is phenomenal: different weapons used for different game, tracking and stalking animals, even skimming the different animals was very accurate. I do appreciate accuracy. I also really enjoy the scenery in the game. A lot of it is based off of real life geography and it is all done beautifully and accurately. Besides all this, story line is where games hook me. I felt immersed in the world, and it was beautiful. Storylines in video games are just as valid as any other story in a book, and stories are human art","Red Dead Redemption 2","Mostly the storyline and the detail put into the environment","2-11 months ago","Yes","During the general gameplay",NA,"“This game is amazing and I wish I lived here so I can ride horses and hunt all day”","Yes","I already enjoyed the game, but then I started to love it","Yes","Makes me want to move onto a piece of land in the middle of nowhere and live life like a late 19th century guy (but not racist)","No","I know people are capable of making amazing things. I got to experience one of them.","Yes","They spent years putting detail after detail in the game. They probably wanted people to experience as much of the game as possible","N/A",NA,NA,NA,"N/A",NA,"Skyrim","Dragon Age (whole series)","Red Dead Redemption","The Binding of Isaac","Call of Duty (not entire series, but mostly)"
"50",161,"Yes","I played the game Kairo, or Cairo I can’t remember, it was an atmospheric puzzle game with big rooms filled with mist and interesting lighting, all the textures were concrete","Kairo","It was aesthetically pleasing and I had dreams about it after finishing it","2-10 years ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Anti chamber","Kairo","Legend of Zelda",NA,NA
"51",168,"Yes","This game is an open-world experience with an incredible detail for the environment. The settings you can stumble upon are breathtaking, and many times, something you could only dream of in the real life. The story is one of great adventure, going on a great journey to save a princess from an evil beast. The sounds design is fantastic, further enriching the world with ambiance and intrigue. Every single individual aspect of this game can be considered a work of art.","The Legend of Zelda: Breath of the Wild","The gameplay, the music, the world design, all of it. Video games are an art form of itself.","<2 months ago","Yes","During the general gameplay",NA,"Something I went through, and changed me as a person.","No","It is something I have thought of before in great detail. If it was the first time I analyzed this game, it would have changed how I viewed it.","No","Same as above","No","Same as above","Yes","Game designers are very clever people who know how to evoke emotions from people.","N/A",NA,NA,NA,"N/A",NA,"The Legend of Zelda: Breath of the Wild","Celeste","Super Mario Sunshine","Super Smash Brothers Ultimate","Super Monkey Ball 2"
"52",174,"Yes","I drove around the map admiring the scenery, interacting with NPCs and wildlife, and snapping in-game photos. I felt like I was in that region and it felt like a place I had lived for a while and understood. I listened to people talking and watched them driving, swimming, suntanning, and more.","Grand Theft Auto 5","I felt like the game scenery was more beautiful than anything I’ve seen in real life, even though it also had a realism to it. It seemed to comment on my country and its culture through visuals, and sound effects. I drove around or walked around the map a lot just to feel like I was someplace familiar. I liked that even through the chaos and destruction brought about by players and NPCs, the sunshine never went away, and the whole world had this constant “gloss” that made it perfect.","2-10 years ago","Yes","During the general gameplay",NA,"I think it meant that chaos and dark stuff are easier to handle when they take place in a sunny, beautiful, imaginary place. At least for me. Even in a setting where you’re meant to destroy things, you can stop and enjoy what’s around you.","Yes","I would say I started off playing to destroy things, but I started wanting to just admire those things instead, and I eventually wanted to create more of those things, although I couldn’t, which was frustrating.","Yes","It made me realize and remember how much work and passion goes into building these worlds for people like me to enjoy and I feel a lot of gratitude for people who create things for others.","Yes","It made me realize that they are an art form.","Yes","I’m sure that the developers want to make experiences that move people. If I was a game developer, I would feel very fulfilled if even one person told me that my game made them feel emotions they didn’t expect to feel.","N/A",NA,NA,NA,"N/A",NA,"GTAV","Fallout 4","Sims 4","Borderlands 2","Stardew Valley"
"53",177,"Yes","Video games are now possible to encompass elements of design, music composition, storytelling, and emotional captivation. To me, that is art.","Hollow Knight","The things that made me consider this experience art was my understanding and appreciation of the effort and time of took to give the player the unique experience the game was aiming for. A seamless marriage between gameplay, sound track, and level composition.","2-11 months ago","No","During the beginning of the game",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Pokemon Franchise main titles","Legend of Zelda, Breath of the Wild","Hollow Knight","Super Monkey Ball",NA
"54",178,"Yes","One instance was a short video game-type of mobile app that was essentially an interactive narrative unfolding as you solved various small puzzles and experienced the romantic relationship between two characters, from when they first met to when they broke up. There was less emphasis on the game play than there was on the emotions it evoked and the art style","Florence","Mostly what I described above. Elaborating a little, the game play was not as much of a focus, despite it being a game. It felt more like you were participating in an interactive graphic novel/art project. The emphasis was on the emotions it evoked and connections you felt with the characters -- or rather how you can put yourself very easily in their shoes based on your own experiences with love","2-11 months ago","No","During the general gameplay",NA,"That I related to the story on an emotional level and was moved by it","Yes","If someone didn't view Florence as an art piece, they would not have seen much purpose to it and would have likely thought it was boring","Yes","It made me reflect on my relationships with others","Yes","It introduced me to a new role video games can play in your life and what needs it can fulfill. It's not always about reaching an end goal, and video games don't always need some big, flashy gimick to impact a player. A lot of the experience was in its subtlety","Yes","It seemed to be developed around that concept of going through the emotional journey of the characters.","N/A",NA,NA,NA,"N/A",NA,"The Sims 4","Harvest Moon / Story of Seasons series","Animal Crossing","Stardew Valley","Yoshi's Island"
"55",185,"Yes","The game was very much like a classic story. It could only progress when you did. The writing style was very touching","Thomas was alone","I consider almost all games as art. They possess stories which are often works of art. Graphics and animations which are absolutely works of art.","2-10 years ago","No","During the general gameplay",NA,"I don't know","No","I don't really understand the question tbh","Yes","It took a common game type (platformer) and made me realise it could be so much more","No","Why would it?","Yes","Absolutely. They included unconventional story elements for a reason.","N/A",NA,NA,NA,"N/A",NA,"Pokemon","Picross","Animal crossing","Sunless sea",NA
"56",190,"Yes","It was absolutely beautiful. The game I'm thinking of is Journey. It was made by a small independent video game company at the time. The soundtrack, composed by Austin Wintory, I think was up for a Grammy nomination. Every part of the game was crafted perfectly in order to elicit an emotional response, it is genuinely one of the best appeals to peace an environmentalism I've ever seen in a game. The lighting, the fluidity of movement, the bond that you feel between other players who you csnt even talk to, it all culminates in an experience that is nearly magical.","Journey","The quality of the worst that was put in as well as the over all experience of playing the game. The message also helped. It wasnt just a save the world type situation or a shoot and kill type game, even though technically it is a linear railroaded type game, it still gave you some agency of interpretation which I think is present in all art.","<2 months ago","Yes","During the beginning of the game",NA,"I don't know but I do think it was a call for environmentalism.","No","I've played this game roughly 15 times, theres very little at this point that can effect hoe I feel about it","No","Aside from taking a bit of time out of my day, no, I've read other studies about video games in regards to art.","No","See above response","Yes","It seems very clear given the in game sections that help explain the narrative.","N/A",NA,NA,NA,"N/A",NA,"Legend of Zelda Twilight Princess","Donkey Kong Country 2 for the snes","Journey","Final Fantasy 12","Final Fantasy Crystal Chronicles"
"57",192,"Yes","This game told a story with a narrative, but left a lot up to the interpretation of player. It had a consistent art style across all sections, but varied in color palette and mood. This game is like walking through someone's diary combined with looking at a photo album. You can appreaciate all aspects of this game from its visuals, to its story, to its soundtrack.","What Remains of Edith Finch","This game is mainly a walking simulator, so there is limited gameplay, but the gameplay that is present is directly related to the current narrative. The gameplay drives the story along and doesn't/can't exist on its own. The game felt like an animated short movie that you would normally just watch, but you get to walk through it at your own pace and drive the narrative yourself.","1-2 years ago","Yes","During the general gameplay",NA,"It meant that I had an appreciation for the arts and that I recognized how much talent went into the game.","Yes","It is easy to forget the amount of work that goes into certain arts like video games and movies. The fact that such an experience can be so well polished, consistent, and enjoyable is a testament to the people behind it.","Yes","It made me think that video games definitely have the opportunity to appeal to anyone, not just ""gamers"". Even my Grandmother could appreciate a good story.","Yes","I think the line can become blurred between what's a ""game"" and what is an ""experience"". Some games have no gameplay other than walking around, so called ""walking-simulators"" but they still require an amount of input.","Yes","The developers definitely intended to tell a story and highlight how games can be a medium for what would normally be considered more traditional story-telling, and then some. It proves that games have the potential to tell stories in ways that aren't possible in other mediums.","N/A",NA,NA,NA,"N/A",NA,"Arma 3","Titanfall 2","Outer Wilds","Boneworks","FRACT OSC"
"58",194,"Yes","The game involved exploring an island through the character of a man who recently lost his wife. While exploring the island, the man reads parts of letters sent to his wife, and slowly the story of his wife's death and of the island itself is revealed, though not wholly so. There is no 'game element' like a puzzle or a high score, and so it does seem questionable as to whether or not this is a game. Exploring the island is purely done on foot, and no running, only a slow walk. It never feels tedious however, as the game world is so intricately made and the dialogue is so engaging that the player is never bored.
The whole game can be played in a few hours. It left me somehow both melancholy and hopeful. The feelings generated from both the dialogue of the man and the images shown in the world were quite profound and stayed in my mind for the next few days. Right from the start, there was no point when I was not engrossed with the game, even though by all metrics it is slow. Though it is this slowness that allows each line of dialogue and part of the world to breathe; it is this that makes the game that much more impactful.","Dear Esther","The game is not competitive or exciting, but rather an experience of emotion and storytelling. The game itself is beautiful graphically, but more than that it stays in the mind like a good book, a beautiful painting, or an amazing piece of music. It is this ability for the game to tell a story in an engaging way without resorting to action or puzzle that makes this game art. Not that games with action or puzzle are not art, but the art in the game comes from its serenity and calm while being about something traumatic and painful.","<2 months ago","No","During the general gameplay",NA,"It may have been me planting my own feelings on to the game, but the experience made me melancholic to a point that I could not sleep before watching an episode of a cartoon..! I think the point of the game was to show an emotional experience in a game and to explore death and its repercussions on the living.","Yes","I feel the experience was the game, they were intrinsically linked. I think it would be difficult to play this game and not encounter art.","Yes","I felt the feelings from this game for the next day at least, as the emotions were particularly powerful.","No","I have played this kind of game before, though I was struck at how well done this game is. I have known however for years that games are very capable of eliciting strong emotion including sadness and hope.","Yes","I believe the point of the game was to induce this response. Every aspect of the game is there to increase the emotion and intrigue of the story.","N/A",NA,NA,NA,"N/A",NA,"The Legend of Zelda: Breath of the Wild","Minecraft","Return of the Obra Dinn","Skyrim","Stardew Valley"
"59",201,"Yes","It was a scene where the two main characters had skipped school and boarded a cargo train as stowaways to reach some unknown destination. In the scene you were able to ask the  other main character some personal questions about their life, with which you gained insight to both their and your playable character’s inner thoughts and feelings. The scene had a mellow song playing in the background and once you were done asking the questions, you could keep listening to the song over and over and have the characters simply watching the changing scenery as the train kept moving. 

Watching the scene made me feel at ease and sent me back to some early preteen years when things felt a lot easier. The audio and visuals of the scene made me feel nostalgic and a little bittersweet as well, but I couldn’t stop it from looping over and over for at least 10 minutes or so.","Life is Strange: Before the Storm","The scene had both stunning visuals and audio, and it invoked a sense of nostalgy and longing, just like watching or listening to some other pieces of art might do.","2-11 months ago","Yes","During the general gameplay",NA,"It meant that the game was able to reach me on a more meaningful level than it previously could and it made me connect with the characters more personally as well.","Yes","I liked it more after it","No","Watching the scene felt nostalgic but it didn’t really impact me otherwise","No","I have always known that (some) games can have deeply emotional scenes and having played the previous installment of the game I knew what I was getting into.","Yes","I have played the previous part of the series and it had some similar scenes. It was a very character-driven story and the developers’ intention was obviously to make the playes feel more connected to the characters of this game as well.","N/A",NA,NA,NA,"N/A",NA,"Dishonored 2","Assassin’s Creed 2","The Sims 4","The Witcher 3",NA
"60",203,"Yes","The Shapeshifting Detective is a supernatural murder mystery game with three potential culprits, one of whom is the tarot reader Rayne. Possessed by an interdimensional being known as a traveller, Rayne is trying to cover up the murder the traveller forced him to commit. If the player doesn't have Rayne jailed, the game concludes with Rayne kidnapping you, planning to murder you so you cannot have him put in prison for the traveller's crime. In response, you can shapeshift into his closest friend, Bronwyn, to his shock. Resigned, he tells you he has no choice but to leave, in essence exiling himself so the traveller cannot return and he is not imprisoned. With a sad smile, he says ""I'll miss you the most"" and walks away, never to be seen again. I found this scene to be incredibly touching; Rayne is driven by his self-preservation and terror, yet is simultaneously unable to hurt Bronwyn even if refusing to do so puts him at risk. He cuts himself off from who he cares about most to protect them, and I think there's a beauty in that tragedy.","The Shapeshifting Detective","""Art"" to me implies the evocation of deep thoughts and emotions, something that can force you to consider situations you hadn't before and truly empathize with people or characters. Rayne is as human a character as you might find in highly-regarded works of theater, literature, or film; he is torn apart by his conflicting desires, scared and flawed and yet compassionate and understandable. He is an incredibly interesting character and one who elicits sympathy despite his flaws. That, to me, is what makes art: an experience that draws you in and allows you to understand things you would otherwise write off.","<2 months ago","Yes","During the end",NA,"This experience meant to me that we're all scared. We all make mistakes, we all have our failures and shortcomings, we have all hurt the people we care about even despite our best intentions. Yet, we keep going. No matter what happens, you can still try to make something better, help someone in some small way. It might not excuse what we've done, but it can make a difference.","Yes","I loved The Shapeshifting Detective essentially since I first saw it, but this experience truly cemented it as one of my favorite games and an artistic inspiration.","Yes","It inspired an interest in FMV games which I'd now like to work on someday.","Yes","I'd never thought of FMV games as a genre with much potential before, but The Shapeshifting Detective showed me that FMV games are as capable as anything of being beautiful and impactful, and in a broader sense, that digital games are always capable of pushing boundaries and exceeding expectations.","Yes","From interactions with them, I believe it's fair to say the developers intended Rayne to be sympathetic even as an antagonist. As the adage goes, he did bad things, he wasn't a bad person.","N/A",NA,NA,NA,"N/A",NA,"The Elder Scrolls V: Skyrim","Professor Layton and the Last Specter","The Shapeshifting Detective","Death Road to Canada","Disco Elysium"
"61",205,"Yes","After completing the tutorial and setting out into the first real mission, I very quickly came to find my character on top of the roof of a tall building. Below were the various enemies I was supposed to be fighting - and all around me, I could see the rest of the levels map - the city in which I was infiltrating as part of the mission, but also the lush forests and ecosystems surrounding the area. More than anything my attention was captured by the beautiful picturesque sunset happening off in the distance, behind my character.","Sekiro; Shadows Die Twice","There was something very serene and beautiful about being elevated and getting to see the rest of this particular level of the game. However, more than just seeing the rest of the level, it gave me a sense of being a part of something bigger than myself; here I was, a super skilled ninja set on battling it out with ferocious beasts and expert samurai, and I was just appreciating the view of the sunset. It made my game character feel like an insignificant speck among the rest of the game world, despite me playing the so called ""main character"". What makes a gaming experience feel like art to me is when it is able to take my breathe away and immerse me in a completely fictional world. So to me personally, In that sense, gaming is most like art when it imitates real life - when it makes me feel as though I am simply one small part of something bigger.","2-11 months ago","No","During the beginning of the game",NA,"I think it meant I was happy to experience the game in a different way than was perhaps intended. For all intents and purposes Sekiro is a game about fighting and killing, however this experience made me simply excited at the prospect of exploring the vast world before me","Yes","Like mentioned above, made me reconsider the nature of the game. Yes, it holds an emphasis on fighting and combat, but it does a very good job of creating a intricately detailed story and overall world / setting.","No","Did the experience chance my perception of the game? Yes. Was it a life changing moment? No. I'm just happy to have experienced it!","No","I have been playing video games for the majority of my life, this isolated occurrence in sekiro did not reveal to me anything I did not already know. All I can say is that I have been thinking of video games as art for as long as I can remember playing them seriously :)","Yes","Despite the emphasis on combat and fighting and the story, etc, clearly the developers had a vision for what they wanted the in game world to look like and feel like. Some games may feel the need to have good graphics and other such elements as a way to draw in players. I believe the developers of Sekiro simply wanted to create a beautiful world for their story to exist in. Any person picking up the game will notice the effort and detail put into the level design, as it stands out in every regard, whether your looking for sunsets or simply appreciating a cool looking Boss fight!","N/A",NA,NA,NA,"N/A",NA,"Dota 2","The Talos Principle","Star Wars Knights of The Old Republic","Faster than Light","Hotline Miami"
"62",206,"Yes","I was venturing through the world and found my way to Zora's domain. The beauty of the city struck me, but the story I interacted with was far more impactful. Finding out that Mipha had loved me and made the suit of armor for me to show that she sought me as her intended. Only for her to die alone and afraid in the Divine Beast as Ganon destroyed everything, likely calling out for help that came far far too late to truly rescue her. The only salvation left being to free her spirit from the torturous monstrosity that killed and captured her soul. The grief and rage I felt at the indignity done upon her truly moved me.
","Legend of Zelda: Breath of The Wild","The way it moved me and inspired such strong emotions that even now, just remembering it, it causes me to tear up.","1-2 years ago","No","During the general gameplay",NA,"It meant that one should cherish what they have, for it can be ripped away in a moment's notice and that sometimes all you can do is pick up the pieces and move on because you can't save everyone, no matter how much you wish to.","Yes","the experience was in Legend of Zelda: Breath of The Wild, so of course it affected how I viewed the game.","Yes","I am slightly more likely to express affection and show those close to me that I love them.","No","I've always viewed video games as an art form, not all of them are good art, but all of them can be considered art in some way. I just feel the art's impact more when it affects my emotions, so I am more prone to remember it.","Yes","the story for that Divine Beast is very much in the way of doing what you can to lay Mipha's spirit to rest and grieving for her.","N/A",NA,NA,NA,"N/A",NA,"Elite: Dangerous","World of Warcraft","Minecraft","Legend of Zelda","Pokemon"
"63",211,"Yes","The game took you on a linear journey through a beautifully designed world, there were elements of fantasy but the use of design, emotion and storytelling is what made it ‘art’.","Brothers : a tale of two sons","The beautiful and calm design and the use of a very emotional story without the protagonists speaking.","2-11 months ago","No","During the general gameplay",NA,NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,"N/A",NA,NA,NA,"N/A",NA,"Brothers a tale of two sons","Zelda breath of the wild","Guild wars 2","Resident evil 7",NA
"64",217,"Yes","This is a role playing game that is mostly dialogue based but also involves moving around a map.  The writing is very good so was a bit like reading a visual novel.  Near the end there is a scene (which you cannot control) where you take a boat ride to an island.  For about a minute you just watch your character sail to the island and listen to the sounds and music.","Disco Elysium","Combination of art style, music and where this comes in the game narrative.","2-11 months ago","No","Other","Near the end","Not sure","No","N/A","No","N/A","Yes","I had not experienced this combination of art, music, story writing and gameplay come together as a whole so successfully before","Yes","I think they were trying to demonstrate that a successful game could be based on narrative and not on combat mechanics as in many other role playing games","N/A",NA,NA,NA,"N/A",NA,"Civilization 6","Civilization 4","Disco Elysium","Sim City 4","Baldur's Gate"
"65",222,"Yes","I was overlooking a beautiful valley surrounded by snow-capped mountains. There was a massive lake in the middle. Everything seemed so peaceful and serene it was like being inside a painting. I felt truly awed, not only at the scenery but at the work the developers put in to make it look so beautiful.","The Witcher 3","A group of people took time and effort in making this area of the game, Kaer Morhen (and honestly most of the game too, the experience was simply more profound here), so beautiful. It was akin to looking at a photographer's work and wanting to physically visit where the picture was taken.","1-2 years ago","No","During the general gameplay",NA,"I think it was meant to be akin to ""the calm before the storm."" A bit further on in the game, a great battle was to take place in that very location, and showing the player the beauty of that valley was to be a small break, a moment of awe, before the battle.","No","Even before this moment, the amazing storytelling made the Witcher 3 by far my favourite game.","No","It was beauty plain and simple.","Yes","I think this experience has gotten me to expect a higher standard from the games I play. Knowing this is possible makes me want it in more games.","Yes","Nobody puts such work into a scene with no intention.","N/A",NA,NA,NA,"N/A",NA,"The Witcher 3","Minecraft","Terraria","Stellaris","GTA V"
